rank,file,commits_touched,total_added,total_deleted,churn,last_commit_unix
1,nuxt.config.ts,17,127,30,157,1767705515
2,server/api/chatbot/index.post.ts,11,734,358,1092,1768316143
3,server/middleware/auth.ts,11,115,69,184,1767706473
4,server/models/Event.ts,9,559,182,741,1758981567
5,server/api/events/index.ts,7,187,59,246,1768316143
6,server/models/User.ts,7,154,58,212,1765397994
7,server/api/events/[id].put.ts,7,113,48,161,1759407382
8,server/api/events/[id].delete.ts,7,86,45,131,1759407382
9,prefect/flows/kulturparken/kulturparken_flow.py,6,724,58,782,1768321955
10,prefect/flows/vestervik/vestervik_flow.py,6,346,37,383,1768318022
11,plugins/vuetify.ts,5,233,102,335,1757431096
12,stores/auth.ts,5,157,91,248,1765397994
13,server/api/auth/login.ts,5,110,101,211,1765397994
14,server/api/events/index.post.ts,5,99,45,144,1752325118
15,server/routes/auth/google.get.ts,5,95,41,136,1765397994
16,types/event.ts,5,93,3,96,1758981567
17,server/validation/eventSchemas.ts,4,195,51,246,1758982232
18,prefect/flows/categorize/categorize_events_flow.py,3,287,1,288,1768318133
19,server/api/events/[id].ts,3,142,142,284,1750730937
20,server/api/events/[id]/attend.ts,3,116,116,232,1750730937
21,server/api/auth/register.ts,3,62,53,115,1765397994
22,server/api/upload/s3.post.ts,3,88,7,95,1756250033
23,server/api/public/v1/events/index.post.ts,3,64,2,66,1767705515
24,plugins/auth.ts,3,42,22,64,1765397994
25,prefect/flows/common/inkuis_api.py,3,38,11,49,1767701242
26,server/utils/seedEvents.ts,2,276,13,289,1751033929
27,plugins/vuetify.client.ts,2,120,120,240,1757431096
28,server/api/geocode.ts,2,89,18,107,1756214712
29,server/api/users/me/events.ts,2,87,1,88,1750730937
30,server/api/users/index.ts,2,51,4,55,1752325781
31,server/utils/seedAdmin.ts,2,50,1,51,1752325781
32,server/api/auth/me.ts,2,34,10,44,1751038370
33,plugins/auth.client.ts,2,32,10,42,1765397994
34,server/api/health.ts,2,30,8,38,1750851923
35,server/api/auth/logout.ts,2,21,11,32,1751038370
36,server/utils/db.ts,2,21,7,28,1750090237
37,prefect/flows/example/example_flow.py,2,13,0,13,1766602884
38,utils/categoryHierarchy.ts,1,293,0,293,1768316143
39,scripts/categorize_all_events.py,1,195,0,195,1768318820
40,server/services/analyticsService.ts,1,171,0,171,1746051864
41,server/api/public/v1/events/[id].patch.ts,1,81,0,81,1768315537
42,server/api/users/[id].ts,1,79,0,79,1745242345
43,server/api/public/v1/events/index.get.ts,1,74,0,74,1768315537
44,server/api/events/[id]/attend.post.ts,1,42,0,42,1750730937
45,prefect/flows/common/openai_api.py,1,37,0,37,1768315537
46,utils/categories.ts,1,33,0,33,1756250033
47,server/api/public/v1/validate-key.get.ts,1,29,0,29,1767705515
48,server/api/analytics/index.ts,1,27,0,27,1746051864
49,server/api/events/[id].get.ts,1,21,0,21,1750730937
50,types/auth.d.ts,1,14,0,14,1751038370
51,server/utils/auth.ts,1,12,0,12,1750730937
52,i18n/i18n.config.ts,1,7,0,7,1765121987
53,server/plugins/mongoose.ts,1,6,0,6,1745242178
54,scripts/scheduled_job.py,1,4,0,4,1765381370
55,prefect/flows/categorize/__init__.py,1,1,0,1,1768315537
56,prefect/flows/kulturparken/__init__.py,1,1,0,1,1768317267
57,prefect/flows/__init__.py,1,0,0,0,1766516961
58,prefect/flows/common/__init__.py,1,0,0,0,1766516961
59,prefect/flows/example/__init__.py,1,0,0,0,1766516961
